time_step,text_hash,source_label,trace_status,trace_error,trace_mode,ate,ate_ci_lower,ate_ci_upper,ci_width,refuted_count,identifiable,concept_count,edge_count,adj_density,max_delta_nll,concept_coverage,condition_number,unk_rate,ccm_coverage_pct,ccm_verdict,edm_rho_high,edm_rho_mid,havok_status,havok_linear_pct,causallearn_consensus,edge_stability_mean,permutation_p_value,total_ms,consensus_score,consensus_direction,z_pca_1,z_pca_2,z_pca_3,secular_entropy,z_福音,z_吉祥,z_奥美,z_存在,z_自孕,z_弥赛亚,z_Alice,z_觉爱,dz_福音,dz_吉祥,dz_奥美,dz_存在,dz_自孕,dz_弥赛亚,dz_Alice,dz_觉爱,d2z_福音,d2z_吉祥,d2z_奥美,d2z_存在,d2z_自孕,d2z_弥赛亚,d2z_Alice,d2z_觉爱,z_福音_zscore,z_吉祥_zscore,z_奥美_zscore,z_存在_zscore,z_自孕_zscore,z_弥赛亚_zscore,z_Alice_zscore,z_觉爱_zscore,dz_福音_zscore,dz_吉祥_zscore,dz_奥美_zscore,dz_存在_zscore,dz_自孕_zscore,dz_弥赛亚_zscore,dz_Alice_zscore,dz_觉爱_zscore,d2z_福音_zscore,d2z_吉祥_zscore,d2z_奥美_zscore,d2z_存在_zscore,d2z_自孕_zscore,d2z_弥赛亚_zscore,d2z_Alice_zscore,d2z_觉爱_zscore
2026-07-11,13757d8b,港口内讯,SKIPPED,,deep,,,,,,,,,,,,,,,,,,,,,,,,,,0.0260885800942021,0.0100709618305146,-0.0045755680964819,0.4519850472292728,-0.8842149491012958,-0.1450783785564592,0.0299918859012242,0.1649029549132241,0.0836165798404661,0.0696797611047631,0.0651385579520116,-0.1117914246189664,-1.4161033014932668e-07,3.0731368042477244e-08,2.9081769044649725e-08,-9.697067101840673e-08,-1.8454994407035885e-07,-9.462008314502021e-08,-9.273515968067176e-09,2.0496708678843416e-08,-2.332876376798793e-12,6.158968009201881e-13,-7.182662723609743e-13,-1.5035857465314704e-12,-2.2713005405086786e-12,-8.547900232440045e-13,-6.402081498151742e-13,7.591065463429802e-13,0.494783470293252,-0.9522817694990414,1.816133717595085,0.6924375470174837,-0.402292009518401,-1.4190532171178858,0.3018136725256067,-0.6077492692071796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-12,f1f265de,财经快讯,SKIPPED,,deep,,,,,,,,,,,,,,,,,,,,,,,,,,0.0039322459334558,-0.0104014899359487,-0.029980307806264,0.3771682389305929,-0.8896306960386468,-0.1446709415914804,0.0230484695713539,0.1398741292380146,0.0859528183052421,0.0715921027220166,0.0588008919109677,-0.0956578040210792,-6.268225621933933e-08,4.715705613180582e-09,-8.036361492905446e-08,-2.896854823519616e-07,2.7039797046017878e-08,2.2133583533027055e-08,-7.335261621578583e-08,1.8673171988295357e-07,9.135193741896685e-13,-3.0110720404278533e-13,-1.2667289811771318e-12,-2.230495501545773e-12,2.448955336995101e-12,1.351315586551473e-12,-7.416562528671142e-13,1.9240163333809043e-12,-0.2427353568092561,-0.8550014061394573,0.1207089270612863,-2.219797826160494,-0.0402191856067199,-0.7467379487160566,-0.8482387203278173,2.4522146764791697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-13,621ab958,临海城建,SKIPPED,,deep,,,,,,,,,,,,,,,,,,,,,,,,,,0.0148766817628372,-0.0114495541143214,-0.0052001534769408,0.7917903216227176,-0.8982323247008771,-0.136814063324563,0.0199665406460226,0.1412370084098853,0.0753769277607244,0.0777593587380667,0.0695759200023694,-0.1000619335649889,-9.95558872943328e-08,9.093609105228492e-08,-3.567047367281604e-08,1.577406448924384e-08,-1.2240614056154697e-07,7.138027796354285e-08,1.247109732801121e-07,-5.097372157302863e-08,-4.26778137442054e-13,9.979211277674112e-13,5.172817275027595e-13,3.5354114217732106e-12,-1.729698351939408e-12,5.699848892420808e-13,2.2924026562025227e-12,-2.751220387222016e-12,-1.4079401574247412,1.0204394825906071,-0.5478443311701393,-1.8563506194092905,-1.5440648348768966,1.178444556795827,1.2474967673881332,1.433772407992829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-14,ec7a58cb,航运通报,SKIPPED,,deep,,,,,,,,,,,,,,,,,,,,,,,,,,0.0205389892387314,-0.0245468950092553,-0.0340516269307497,0.918457038106495,-0.8942348780940382,-0.1437481176808371,0.0175277638154827,0.1536760327363838,0.0818504178137335,0.0720169802653511,0.0543172479464823,-0.0969641055935207,4.6266743134709176e-08,-8.025525875317297e-08,-2.8226583686804534e-08,1.4397018896410352e-07,7.492465339130945e-08,-6.646271380457945e-08,-1.7660500064684204e-07,3.58544904105112e-08,1.6877619262620597e-12,-1.981381363489096e-12,8.615613409735544e-14,1.4837514406812464e-12,2.2839212263062088e-12,-1.5954049973162302e-12,-3.487453401932339e-12,1.0049561572168962e-12,-0.723361756072463,-0.8395666751309353,-1.0883073554392193,-0.348738022006493,-0.5180670555176837,-0.7084710241612212,-1.5692390612190534,1.7769498023625965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-15,1df6b479,临海财经,SKIPPED,,deep,,,,,,,,,,,,,,,,,,,,,,,,,,0.0140599614902991,-0.0176193775362716,-0.0212323150333846,0.9516470195140118,-0.8949044970130529,-0.1425676674245968,0.0179044141860376,0.1442824747049765,0.0754144883732035,0.075366491574835,0.0584654581321676,-0.1019771657496182,-7.75021897007668e-09,1.3662618706485029e-08,4.359379288829562e-09,-1.0872173647462141e-07,-7.448992408020858e-08,3.8767492007915626e-08,4.801169196395056e-08,-5.802152958446095e-08,-6.251963206572437e-13,1.0870124705978937e-12,3.7715234925502425e-13,-2.924675062948205e-12,-1.7293353874018292e-12,1.2179421969038781e-12,2.5997302385508397e-12,-1.0865280092010665e-12,-0.7514628367281826,-0.4588949335470689,-0.9249813248297906,-1.3070364066665807,-1.3845693358813806,0.4004619569861181,-0.7317152421650353,0.7884590196654628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,8bcbc879,临海人社,SKIPPED,,deep,,,,,,,,,,,,,,,,,,,,,,,,,,0.0052349593974557,0.0055330830271619,-0.0110947209035634,0.7725156204263015,-0.8891319858794218,-0.1444526607971713,0.0083825447922138,0.150507715497059,0.0898307616071921,0.0784183423496175,0.0572110807135456,-0.1089294873179358,6.68114714540635e-08,-2.1817052923315983e-08,-1.1020682168777524e-07,7.205139805651015e-08,1.6685501428227565e-07,3.532234693035313e-08,-1.4518257159977484e-08,-8.046668481849056e-08,8.62982528057178e-13,-4.106443475671413e-13,-1.3259976964884813e-12,2.092281649665874e-12,2.7933441940102344e-12,-3.987436432363998e-14,-7.237262630084263e-13,-2.5978188928275013e-13,0.0690741698616357,-0.8805237798763278,-2.532650623108739,-0.6031303023529205,0.7158976379826524,1.3014426296949844,-0.8837673797969345,-0.5094649365943014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,5a48ac12,海关通讯,SKIPPED,,deep,,,,,,,,,,,,,,,,,,,,,,,,,,0.0169445439327612,0.0092866657332028,0.0076960910575161,0.78808499911342,-0.8865252452369077,-0.1420335476432347,0.0146362786127354,0.1577442354803888,0.0891909745751937,0.0697980427550769,0.0652851280049839,-0.110726154721576,3.0170609288357574e-08,2.799899483722869e-08,7.238117847825876e-08,8.375601832557675e-08,-7.404942499982041e-09,-9.977198604792309e-08,9.34496214286845e-08,-2.0794761616206733e-08,-4.2408405284381874e-13,5.765746268581558e-13,2.1132870389587266e-12,1.3547014200308586e-13,-2.016897647942797e-12,-1.563591816878197e-12,1.24962822440581e-12,6.906472592856925e-13,0.4200205951171408,-0.1921640455368152,-1.1555907195364716,0.2355966171965275,0.6168095867536306,-1.321253556310784,0.5715610474934135,-0.7596340024509174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-18,86ef3499,财经快讯,SKIPPED,,deep,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0049366024834501,-0.0515923892545185,-0.0190684352828423,0.3740251870601183,-0.9035272912617406,-0.13782767421094,0.0220465324383665,0.1350191086403932,0.074298655188238,0.0689133862738792,0.0577649652803528,-0.0950583889005916,-1.967829401022327e-07,4.8679090651559664e-08,8.576682668554518e-08,-2.630223013888388e-07,-1.723648077193944e-07,-1.0239079643492108e-08,-8.703892042397084e-08,1.8133988218732e-07,-2.626777192020721e-12,2.3935296081401586e-13,1.5492648388063005e-13,-4.013637959657587e-12,-1.909257699298754e-12,1.0362604907920253e-12,-2.088987752924252e-12,2.3395213403185962e-12,-1.9630990133152224,0.8903851808810971,0.366500621119487,-1.9881167194674476,-1.568228606149226,-1.4138322332711806,-0.7086488951628942,1.8619094935829807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-19,64274535,临海日报,SKIPPED,,deep,,,,,,,,,,,,,,,,,,,,,,,,,,0.0181158869355794,0.0206986663223676,-0.0082041504986544,0.8295194208711194,-0.8822267511259113,-0.1368271741558404,0.0212512918769015,0.1649065991585992,0.0893171086268644,0.078504411218873,0.0657199572672134,-0.110003496368519,2.465340293498759e-07,1.15798617488374e-08,-9.204173165104352e-09,3.4592002914590335e-07,1.738246925766938e-07,1.1100723315965056e-07,9.20716665145904e-08,-1.7297578087878958e-07,5.130983442732738e-12,-4.293892234111373e-13,-1.0992013871602957e-12,7.047943640448404e-12,4.0068229200936135e-12,1.4033138055919293e-12,2.0730392006777927e-12,-4.100875729931824e-12,1.0246862140546673,1.0832502207283143,0.1765589346975988,1.0212782521390895,0.6467175637585024,1.2370459465046724,0.6759638722810452,-0.708564579015306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,dbeb46e5,统计公报,SKIPPED,,deep,,,,,,,,,,,,,,,,,,,,,,,,,,0.0345928319255281,-0.0203310288552729,0.047973029155047,0.8300532634438796,-0.8849865582775668,-0.143533995057399,0.013106966342303,0.1561627695622656,0.0889736340416611,0.0788407059248556,0.053150555394005,-0.1036251921358775,-3.194221240341978e-08,-7.762524191618728e-08,-9.426302702081593e-08,-1.01201731439046e-07,-3.975400291704206e-09,3.89229983776181e-09,-1.4547918834731919e-07,7.382296565557265e-08,-3.223104649922403e-12,-1.0324664776044522e-12,-9.84477475181847e-13,-5.175020377140617e-12,-2.057871445236088e-12,-1.2397561727070458e-12,-2.7494311905313607e-12,2.85646697377734e-12,0.6523266525267195,-0.5874461071360916,-1.3461060910444536,0.218949243334275,0.5872437205233262,1.260542808473406,-1.4603366051023552,0.3094689104311194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-21,d6329274,港口内讯,SKIPPED,,deep,,,,,,,,,,,,,,,,,,,,,,,,,,0.0206042459910273,0.0062102225246885,-0.0088787361604222,0.6005404809409686,-0.896645981230336,-0.1406271796994002,0.0286795700951176,0.1542254462101384,0.0773916861790095,0.0678885114453858,0.0612982835108528,-0.1083514045212141,-1.349470249163105e-07,3.3643696273133995e-08,1.8023846936128092e-07,-2.2422723982954107e-08,-1.3405032248439333e-07,-1.267615101790489e-07,9.430240875981245e-08,-5.4701532237691857e-08,-1.1921853300103094e-12,1.2878349327467738e-12,3.1771006525705658e-12,9.117940677788413e-13,-1.5054967846376057e-12,-1.5121968751945684e-12,2.7752499665177268e-12,-1.4875520589498206e-12,-1.0007222940261478,0.1400304655699728,1.633482304445195,0.0092503589457041,-1.1053033103026588,-1.5578276622428942,-0.0914293152488423,-0.496837015075515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-22,466fcd23,财经快讯,SKIPPED,,deep,,,,,,,,,,,,,,,,,,,,,,,,,,0.0439684476184089,-0.046089557132998,0.0096121630720222,0.7130411916712526,-0.8942635043035522,-0.1414567787082996,0.0159034250834799,0.1449978783489192,0.0867277696267749,0.0730567758849921,0.0594971797409328,-0.0967038973669484,2.7574964430368506e-08,-9.601840380779076e-09,-1.4787204874580674e-07,-1.0680055394929629e-07,1.0805652138617285e-07,5.981787545840594e-08,-2.08461084481488e-08,1.3480911058177926e-07,1.8810415433643405e-12,-5.005270446054753e-13,-3.797575441054255e-12,-9.765952542400717e-13,2.80216254479822e-12,2.1594836300631346e-12,-1.3327374676847366e-12,2.1934102178179524e-12,-0.6208858506863442,-0.0446238096129335,-0.745136931372292,-0.8885639626768381,0.2492606683299638,-0.2064432370224955,-0.3188224045911483,1.4998432532607322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-23,d42e7193,临海城建,SKIPPED,,deep,,,,,,,,,,,,,,,,,,,,,,,,,,-0.005848554142609,0.0243389807123045,0.0218100034078099,0.7319710172897276,-0.8800538484452588,-0.1446054314985251,0.0189961137776723,0.1647434478819366,0.0879488582867864,0.070725138489023,0.0642621603517013,-0.1187634187803424,1.6446360947098809e-07,-3.6442740627610254e-08,3.579500803463391e-08,2.285366844099236e-07,1.4132970601985264e-08,-2.698654393482773e-08,5.5150238550561824e-08,-2.553185348772463e-07,1.5843593175997633e-12,-3.106585676716571e-13,2.125776120143989e-12,3.881218036565045e-12,-1.0870781340762453e-12,-1.0046807800142786e-12,8.795873495221138e-13,-4.5153662668868694e-12,1.254779828425417,-0.8050399078984461,-0.1664856403320133,1.063513220769861,0.4027720814391596,-0.7879325898539454,0.5909626143501142,-2.1393226446883085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-24,df1c6766,海关通讯,SKIPPED,,deep,,,,,,,,,,,,,,,,,,,,,,,,,,0.0395267818733325,-0.0368725679663223,0.02872971173622,0.9701630190317844,-0.8936233671858567,-0.1417662481099829,0.0129607914117297,0.1499447353924869,0.0869413647015992,0.0735427502041015,0.0463750452746234,-0.0955863908643053,-1.5705461505321604e-07,3.28609188488683e-08,-6.985326812433524e-08,-1.712813945538156e-07,-1.166080538411146e-08,3.2611246702297713e-08,-2.0702679487358686e-07,2.682526379170964e-07,-3.721275746807917e-12,8.021256883851685e-13,-1.222780974062143e-12,-4.6275240620803145e-12,-2.985390739131565e-13,6.897892434852482e-13,-3.034456405372091e-12,6.0598515369715576e-12,-0.5799737108017874,0.0289049194052472,-1.2018507312175364,-0.4336897836921799,0.2303993822593068,-0.0962416509708068,-2.357158082557746,1.4237524583519103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-25,9ab30603,临海日报,SKIPPED,,deep,,,,,,,,,,,,,,,,,,,,,,,,,,0.0116846788309422,0.0118688108387291,0.0122293042939231,0.999344058118566,-0.892587195438293,-0.1321318344455618,0.0106932249490292,0.1526456847141728,0.0784265611173851,0.0806752431951546,0.0648091550318545,-0.1080410424561442,1.1992728559764494e-08,1.1150941741228104e-07,-2.6244982207181673e-08,3.126098751951186e-08,-9.855096740988457e-08,8.255200221126262e-08,2.1335775181980417e-07,-1.4415106009072846e-07,1.9565664770020893e-12,9.102835481876471e-13,5.047255314485365e-13,2.344240533256105e-12,-1.005673171594596e-12,5.780180035759828e-13,4.8655618830253576e-12,-4.773190949164639e-12,-0.4290917875890053,2.2372238938613247,-1.4553974020902267,-0.1482341676784224,-0.9389496639423952,1.5546600476699646,0.6079301912538454,-0.4622804245554423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-26,fb5cae22,财经周报,SKIPPED,,deep,,,,,,,,,,,,,,,,,,,,,,,,,,0.0299889893280917,-0.027339342175774,0.0100613398175242,0.7920675803956468,-0.8925265902757928,-0.132589997317158,0.0252140213667366,0.1443455945416228,0.0804588867494066,0.0656631059591926,0.0593429334447206,-0.1097861585595695,7.014486400482794e-10,-5.302811013845504e-09,1.680647733530948e-07,-9.606585847858744e-08,2.352228740765584e-08,-1.737515883791896e-07,-6.326645355479089e-08,-2.0198103048903146e-08,-1.3068611018190062e-13,-1.3519933845616498e-12,2.2489555041698663e-12,-1.4736903472002236e-12,1.4128848937215325e-12,-2.966476742945049e-12,-3.2016690436874425e-12,1.4346407065026076e-12,-0.4171091442655233,1.825222647047501,1.0729585015509524,-0.9020044077503636,-0.6887876616028809,-1.9507608243098893,-0.2860486162713402,-0.6756439286228156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
